id,layer,min_m,max_m,cells,area_km2
2595,26,130,135,3,8.272225161284766
2385,23,115,120,3,8.271629492484543
2731,28,140,145,3,8.271629492484543
2984,32,160,165,3,8.271033823693722
2665,27,135,140,3,8.271033590408432
3105,34,170,175,3,8.269246117451287
5522,84,420,425,3,8.269245884211875
3917,49,245,250,3,8.26805384680614
4076,52,260,265,3,8.267457478310961
5113,74,370,375,3,8.26745747830626
13220,397,1985,1990,3,8.26745747830156
2981,32,160,165,3,8.26626497448146
5031,72,360,365,3,8.26566837283502
3596,43,215,220,3,8.265072004330442
5156,75,375,380,3,8.264475402688698
352,3,15,20,3,8.263878567968233
3103,34,170,175,3,8.263878567963536
4371,58,290,295,3,8.26268513160133
3699,45,225,230,3,8.262088063838627
3046,33,165,170,3,8.260296860606886
3219,36,180,185,3,8.260296860602189
4071,52,260,265,3,8.258504958418513
3963,50,250,255,3,8.257310123988153
3644,44,220,225,3,8.253723291835364
4014,51,255,260,3,8.253125059663052
2448,24,120,125,3,8.253125059653671
3386,39,195,200,3,8.252527060266665
3387,39,195,200,3,8.251928828084974
10065,212,1060,1065,3,8.24773887579508
1419,11,55,60,3,8.242946038710242
11999,291,1455,1460,3,8.242346410904794
4312,57,285,290,3,8.241747015578461
81,1,5,10,3,8.240547527534885
12850,349,1745,1750,3,8.239947899738802
982,7,35,40,3,8.239348039505357
190,2,10,15,3,8.236947901444145
1217,9,45,50,3,8.235747251574637
7254,132,660,665,3,8.235146694363944
1,0,0,5,3,8.23454636942919
188,2,10,15,3,8.233345022784306
4153,54,270,275,3,8.231542886700549
10062,212,1060,1065,3,8.231542654532847
3742,46,230,235,3,8.230941865098654
4936,70,350,355,3,8.230941865098654
6708,117,585,590,3,8.230941865098654
4656,64,320,325,3,8.229739821885506
1509,11,55,60,2,5.690252964223497
675,4,20,25,2,5.671155887057051
185,1,5,10,2,5.653055473465633
671,4,20,25,2,5.65192012765857
72,0,0,5,2,5.650216272045685
1670,13,65,70,2,5.650216272045685
1211,8,40,45,2,5.649648001427446
71,0,0,5,2,5.649648001427444
2304,21,105,110,2,5.649648001427444
2656,26,130,135,2,5.649648001427444
823,5,25,30,2,5.649648001422628
1758,14,70,75,2,5.648511221185128
2444,23,115,120,2,5.6473739629923205
3900,48,240,245,2,5.6473739629923205
5287,77,385,390,2,5.646805214413959
4461,59,295,300,2,5.6462362269328885
5192,75,375,380,2,5.6462362269328885
5478,82,410,415,2,5.6462362269328885
3257,36,180,185,2,5.646236226928075
3204,35,175,180,2,5.645098013116971
666,4,20,25,2,5.644528786782121
1993,17,85,90,2,5.644528786782121
5331,78,390,395,2,5.644528786782121
1308,9,45,50,2,5.6439593216415656
4460,59,295,300,2,5.643959321631941
1827,15,75,80,2,5.643389856496197
1095,7,35,40,2,5.643389856491385
1754,14,70,75,2,5.643389856491385
1909,16,80,85,2,5.64168050606226
1752,14,70,75,2,5.641110563445288
3482,40,200,205,2,5.641110563445288
493,3,15,20,2,5.640540382170731
5775,90,450,455,2,5.640540382165922
1304,9,45,50,2,5.639399780986743
1991,17,85,90,2,5.639399780986743
1825,15,75,80,2,5.639399780986741
3377,38,190,195,2,5.638829361086929
1665,13,65,70,2,5.638258702623034
4251,55,275,280,2,5.637688044159141
7178,129,645,650,2,5.637688044159141
2845,29,145,150,2,5.6371171471805415
3688,44,220,225,2,5.637117147175736
336,2,10,15,2,5.635975114731798
9812,203,1015,1020,2,5.635975114731798
816,5,25,30,2,5.634832605403952
1302,9,45,50,2,5.634832605403952
5547,84,420,425,2,5.634832605403952
4933,69,345,350,2,5.63368961928221
3313,37,185,190,2,5.633689619277407
4702,64,320,325,2,5.633689619277407
1405,10,50,55,2,5.631402217021024
1204,8,40,45,2,5.631402217016223
3312,37,185,190,2,5.631402217016223
5585,85,425,430,2,5.6314022170162215
3629,43,215,220,2,5.631402217011421
3198,35,175,180,2,5.630830128160158
1907,16,80,85,2,5.6302578010830135
5811,91,455,460,2,5.630257801078212
2297,21,105,110,2,5.6296854739962665
4973,70,350,355,2,5.629112908725587
810,5,25,30,2,5.628540343464507
5434,81,405,410,2,5.628540343464507
1199,8,40,45,2,5.627967540068438
176,1,5,10,2,5.627394736677165
1198,8,40,45,2,5.627394736672367
5433,81,405,410,2,5.627394736672367
6846,120,600,605,2,5.627394736672367
326,2,10,15,2,5.626821695198096
327,2,10,15,2,5.6268216951933
329,2,10,15,2,5.626821695193298
3309,37,185,190,2,5.6262486537142316
809,5,25,30,2,5.6256753742041505
173,1,5,10,2,5.625102094684477
3788,46,230,235,2,5.625102094684477
172,1,5,10,2,5.624528577180982
5186,75,375,380,2,5.624528577180982
6458,109,545,550,2,5.6245285771761875
323,2,10,15,2,5.623955059682284
5013,71,355,360,2,5.623381304243916
2434,23,115,120,2,5.622807548800754
321,2,10,15,2,5.622233555475566
2290,21,105,110,2,5.622233555465979
2139,19,95,100,2,5.62165956214079
2842,29,145,150,2,5.621085330973798
2433,23,115,120,2,5.621085330969006
3029,32,160,165,2,5.621085330969006
6089,99,495,500,2,5.621085330964212
3308,37,185,190,2,5.62051109979722
3426,39,195,200,2,5.62051109979722
4883,68,340,345,2,5.62051109979722
5946,95,475,480,2,5.62051109979722
56,0,0,5,2,5.619936630834756
8199,156,780,785,2,5.619936630829964
484,3,15,20,2,5.619362161872291
2772,28,140,145,2,5.619362161872291
3367,38,190,195,2,5.619362161872291
1742,14,70,75,2,5.618787455169818
4146,53,265,270,2,5.618787455165027
806,5,25,30,2,5.618212748457763
944,6,30,35,2,5.618212748457763
1079,7,35,40,2,5.618212748457763
1296,9,45,50,2,5.618212748457763
1739,14,70,75,2,5.617637804061613
2361,22,110,115,2,5.617637804056823
480,3,15,20,2,5.617062859655883
1076,7,35,40,2,5.617062859655883
1580,12,60,65,2,5.617062859655883
2207,20,100,105,2,5.617062859655883
2894,30,150,155,2,5.617062859655883
313,2,10,15,2,5.616487677605835
3574,42,210,215,2,5.616487677605835
4882,68,340,345,2,5.616487677605835
479,3,15,20,2,5.616487677605834
2502,24,120,125,2,5.616487677605834
2646,26,130,135,2,5.6159124955557855
3784,46,230,235,2,5.6159124955557855
646,4,20,25,2,5.6153370759138515
9494,194,970,975,2,5.6153370759138515
3572,42,210,215,2,5.615337075909064
7173,129,645,650,2,5.615337075909064
802,5,25,30,2,5.615337075909063
3783,46,230,235,2,5.615337075909063
3475,40,200,205,2,5.614761656267129
1072,7,35,40,2,5.614185999073545
8266,158,790,795,2,5.614185999073545
9875,205,1025,1030,2,5.614185999068758
52,0,0,5,2,5.6141859990687575
3837,47,235,240,2,5.6141859990687575
9531,195,975,980,2,5.6141859990687575
2134,19,95,100,2,5.613610341875173
2286,21,105,110,2,5.613610341875173
3245,36,180,185,2,5.613610341875173
3938,49,245,250,2,5.6130344471814615
51,0,0,5,2,5.613034447176677
2709,27,135,140,2,5.613034447176677
3087,33,165,170,2,5.613034447176677
