layer,min_m,components,area_km2
493,2465,1,2.792918260422268
494,2470,1,2.7917548640653496
496,2480,2,8.36944028857923
498,2490,1,2.788842240046019
501,2505,3,8.374680413607866
503,2515,1,2.7981418402658114
504,2520,2,5.57007275171704
505,2525,1,2.7894252370145187
506,2530,2,5.586410774063493
508,2540,3,8.398471733779028
509,2545,1,2.794661582400319
510,2550,1,2.7923366803851697
512,2560,2,5.602070851989405
513,2565,3,8.368212480006266
516,2580,3,8.387453409073458
519,2595,1,2.7940807114894217
532,2660,1,2.796402776128899
533,2665,1,2.7964027761241304
535,2675,2,5.586980061950109
536,2680,1,2.796982700856991
537,2685,1,2.795822614771179
540,2700,1,2.791754864060589
541,2705,1,2.7934996041402886
546,2730,1,2.790590522791565
557,2785,1,2.790007997944121
558,2790,1,2.797562388919948
571,2855,1,2.7911728115139343
592,2960,1,2.8004572774829217
617,3085,1,2.8004572774781464
645,3225,1,2.8010355445013753
675,3375,1,2.801035544496599
